accounting_office_cvr,accounting_office_name,declarations,audits,reviews,extended_reviews,assistance,other_types,class_b,class_b_assistance,class_b_extended_reviews,class_b_audits,class_b_reviews,class_other,addressable_annual_reports,auditors_with_mne,source_names
10352231,Revisionscentret v/Jesper Thygesen,161,0,0,0,161,0,161,161,0,0,0,0,161,1,Revisionscentret v/Jesper Thygesen
34045607,Revisorkompagniet,161,14,2,60,85,0,158,85,60,11,2,3,145,2,Revisorkompagniet
20415991,J H Regnskab v/Jan Ekmann Hørsel,160,13,0,6,141,0,160,141,6,13,0,0,147,1,J H Regnskab v/Jan Ekmann Hørsel
30613791,Revisionsfirmaet Ivan Kjeldsen,159,21,1,13,124,0,159,124,13,21,1,0,137,1,Revisionsfirmaet Ivan Kjeldsen
30719131,Landbrugsrådgivning Syd,159,0,0,0,159,0,159,159,0,0,0,0,159,3,Landbrugsrådgivning Syd
29538565,Statsaut. Revisor J Løbner,158,17,0,11,130,0,158,130,11,17,0,0,141,1,Statsaut. Revisor J Løbner
20142146,Lerfeldt Revision,155,0,0,3,152,0,155,152,3,0,0,0,155,1,Lerfeldt Revision
25735560,Revisionsfirmaet Woiremose & Partner,154,0,0,0,154,0,154,154,0,0,0,0,154,3,Revisionsfirmaet Woiremose & Partner
40052992,"JHL Revision, Esbjerg",154,0,0,49,105,0,154,105,49,0,0,0,154,2,"JHL Revision, Esbjerg"
16347299,ReviNord,153,0,0,28,124,1,152,124,28,0,0,0,152,1,ReviNord
