accounting_office_name,accounting_office_cvr,total_declarations,total_analyses,adoption_score,untapped_potential,potential_at_10_percent,potential_at_20_percent,potential_at_30_percent
Grønborg Revision,75076118,47,0,0.000000,47,5,9,14
Lægers & Tandlægers Revisionskontor,25685229,47,0,0.000000,47,5,9,14
Nils Knudsen NK - REVI,11524192,47,0,0.000000,47,5,9,14
Kirkhoff,30351002,46,0,0.000000,46,5,9,14
Revisionsfirmaet Jørgen Larsen,54471556,46,0,0.000000,46,5,9,14
"Revisionsfirmaet Ole Hansen, Statsautoriseret Revisionsanpartsselskab",17246496,46,0,0.000000,46,5,9,14
AA revisionsanpartsselskabet,27607764,45,0,0.000000,45,4,9,14
PM Revision,15279680,45,0,0.000000,45,4,9,14
Revisionsfirmaet Arne Bang,78682418,45,0,0.000000,45,4,9,14
AHJ Revision,27489559,44,0,0.000000,44,4,9,13
RevisionsHuset-Viborg v/Mogens Bech,37054933,44,0,0.000000,44,4,9,13
Revisionskontoret,69885055,44,0,0.000000,44,4,9,13
Revisor/Lasse Larsen,70666758,44,0,0.000000,44,4,9,13
Din Revisor Amager ApS Godkendte revisorer,44396033,43,0,0.000000,43,4,9,13
Revirk Rådgivning Statsautoriseret revisionsfirma,20527986,43,0,0.000000,43,4,9,13
Revisionsanpartsselskabet Jens Carl Nielsen,28505159,43,0,0.000000,43,4,9,13
Broernes Revision,27616690,42,0,0.000000,42,4,8,13
Gundsø Revision,76475512,42,0,0.000000,42,4,8,13
