mne,pub_month,antal,aktive
mne31436,11,14,0
mne15969,1,12,0
mne34162,6,54,0
mne34324,12,14,4
mne40048,5,51,0
mne23293,6,88,0
mne47887,10,6,0
mne23420,10,18,0
mne33688,6,11,0
mne23366,10,21,0
mne34327,8,4,0
mne2903,1,9,0
mne34278,9,12,0
mne19698,10,16,0
mne33733,3,26,0
mne42184,9,3,0
mne36178,11,7,0
mne1101,2,2,0
mne34083,6,92,0
mne36181,4,77,0
mne10948,11,8,0
mne35407,11,16,0
mne34536,3,47,0
mne35804,9,2,0
mne32066,12,26,0
mne24824,10,9,0
mne31481,6,50,0
mne34442,1,14,0
mne35801,9,9,0
mne10675,4,35,0
mne33722,5,38,0
mne32748,9,8,0
mne33725,7,34,0
mne21387,11,8,0
mne33705,6,107,0
mne35807,4,25,0
mne32066,1,19,0
mne17138,7,20,0
mne27739,4,28,0
mne36186,7,49,0
mne31399,2,19,0
mne33705,1,18,0
mne46587,3,29,0
mne33707,3,24,0
mne34271,9,9,0
mne504,4,29,0
mne48470,5,1,0
mne12006,2,2,0
mne27866,6,166,0
mne34536,5,69,0
mne689,6,63,0
mne51529,3,39,3
mne46641,6,4,0
mne16627,3,12,0
mne1341,3,23,0
mne34316,5,45,0
mne19693,1,25,0
mne42831,5,13,0
mne35625,10,9,0
mne33686,3,46,0
mne48483,1,10,0
mne34028,12,38,0
mne4109,4,24,0
mne12318,10,6,0
mne32750,10,9,0
mne10734,2,12,0
mne31411,12,28,0
mne36190,6,115,1
mne16702,9,5,0
mne27768,4,21,0
mne19699,9,6,0
mne33207,9,18,0
mne35421,5,31,0
mne47422,5,36,0
mne27708,8,1,0
mne12040,7,10,0
mne19699,12,15,0
mne35391,9,6,0
mne16652,7,11,0
mne32904,5,21,2
mne42790,5,8,0
mne33761,3,42,0
mne47785,4,21,0
mne15429,3,32,0
mne32170,4,9,0
mne32170,12,20,0
mne5657,6,64,0
mne12610,10,12,0
mne28606,7,64,0
mne31487,5,20,0
mne6568,3,3,0
mne11645,9,13,0
mne29462,10,17,0
mne12631,6,8,0
mne44064,1,4,0
mne35388,2,23,0
mne35810,6,56,0
mne30213,11,17,0
mne34324,5,25,1
mne29462,9,21,0
mne34162,12,11,0
mne35838,10,14,0
mne34336,6,117,11
mne42811,3,8,0
mne47785,3,32,0
mne17402,7,11,0
mne27701,3,12,0
mne49147,7,21,0
mne33725,11,10,0
mne31483,11,20,0
mne24821,3,10,0
mne8317,3,22,0
mne34321,11,8,0
mne47319,2,13,0
mne31481,1,18,0
mne32848,6,87,1
mne24638,1,10,0
